OID_,DM,date,STATE_NAME,STATE_ABBR,Shape_Length,Shape_Area,Acres
1,0,2002-01-01,Alabama,AL,9.10207885,2.941309138,7599526
2,0,2002-01-01,Arkansas,AR,0.073244573,0.000221589,544
3,0,2002-01-01,California,CA,18.58687585,4.89169608,11641971
4,0,2002-01-01,Colorado,CO,27.42218328,11.47362882,27376595
5,0,2002-01-01,Florida,FL,77.65553723,7.796683803,20721339
6,0,2002-01-01,Georgia,GA,7.264542868,0.562683591,1435226
7,0,2002-01-01,Hawaii,HI,5.560607442,0.212317817,603628
8,0,2002-01-01,Iowa,IA,4.949518669,1.409723343,3253871
9,0,2002-01-01,Kansas,KS,23.16439277,7.175887792,17092537
10,0,2002-01-01,Kentucky,KY,6.593763042,1.199062661,2917648
11,0,2002-01-01,Maryland,MD,3.196532252,0.245356439,578552
12,0,2002-01-01,Missouri,MO,14.70377807,4.787813413,11357923
13,0,2002-01-01,North Carolina,NC,0.575579191,0.013748614,34330
14,0,2002-01-01,North Dakota,ND,14.39292199,9.607095254,19817036
15,0,2002-01-01,Nebraska,NE,16.82383909,6.434844362,14701601
16,0,2002-01-01,New Mexico,NM,17.27433276,10.36720521,25988383
17,0,2002-01-01,Nevada,NV,11.17212318,5.724315979,13851106
18,0,2002-01-01,New York,NY,11.15782597,3.665174876,8169865
19,0,2002-01-01,Oklahoma,OK,13.27800913,2.783019543,6908932
20,0,2002-01-01,Oregon,OR,9.671821358,3.68455998,8136553
21,0,2002-01-01,Pennsylvania,PA,14.70289568,6.472137077,14958030
22,0,2002-01-01,Puerto Rico,PR,3.310220569,0.119906258,347250
23,0,2002-01-01,South Dakota,SD,12.0712048,9.597269421,21000889
24,0,2002-01-01,Tennessee,TN,5.432408707,1.237972548,3066157
25,0,2002-01-01,Texas,TX,29.05228133,7.123770935,18552664
26,0,2002-01-01,Utah,UT,16.50561562,14.45913355,34307362
27,0,2002-01-01,Virginia,VA,4.706416494,0.146554384,357653
28,0,2002-01-01,Vermont,VT,4.7035952,0.81428465,1780252
29,0,2002-01-01,Washington,WA,9.361112446,2.281547241,4733187
30,0,2002-01-01,West Virginia,WV,11.41300253,3.639676789,8690584
