year,state_name,state_abbr,total_ac,count
2000,Alaska,AK,771073,24
2001,Alaska,AK,108980,8
2002,Alaska,AK,2117689,52
2003,Alaska,AK,577356,19
2004,Alaska,AK,6568036,77
2005,Alaska,AK,4860738,109
2006,Alaska,AK,270408,12
2007,Alaska,AK,602433,42
2008,Alaska,AK,99956,12
2009,Alaska,AK,2893651,60
2010,Alaska,AK,1054141,72
2011,Alaska,AK,238622,23
2012,Alaska,AK,259338,26
2013,Alaska,AK,1231569,60
2014,Alaska,AK,277816,7
2015,Alaska,AK,4928054,170
2016,Alaska,AK,462190,43
2017,Alaska,AK,711102,38
2018,Alaska,AK,418544,24
2000,Alabama,AL,8923,8
2001,Alabama,AL,2931,3
2002,Alabama,AL,1897,3
2003,Alabama,AL,1278,1
2004,Alabama,AL,4748,7
2005,Alabama,AL,168173,111
2006,Alabama,AL,185266,123
2007,Alabama,AL,13275,9
2008,Alabama,AL,20638,10
2009,Alabama,AL,6004,3
2010,Alabama,AL,39346,24
2011,Alabama,AL,12914,10
2012,Alabama,AL,1422,1
2013,Alabama,AL,55819,26
2014,Alabama,AL,81649,51
2015,Alabama,AL,68110,50
2016,Alabama,AL,64079,45
2017,Alabama,AL,44457,24
2018,Alabama,AL,67633,50
2000,Arkansas,AR,23288,5
2001,Arkansas,AR,11228,4
2002,Arkansas,AR,13396,7
2003,Arkansas,AR,110072,41
2004,Arkansas,AR,21052,12
2005,Arkansas,AR,24225,12
2006,Arkansas,AR,119211,50
2007,Arkansas,AR,166841,55
2009,Arkansas,AR,3622,3
2010,Arkansas,AR,85958,35
2011,Arkansas,AR,26936,18
2012,Arkansas,AR,8177,8
2013,Arkansas,AR,107526,38
2014,Arkansas,AR,69355,27
2015,Arkansas,AR,19823,13
2016,Arkansas,AR,141131,62
2017,Arkansas,AR,66565,34
2018,Arkansas,AR,89288,45
2000,Arizona,AZ,95771,19
2001,Arizona,AZ,93221,24
2002,Arizona,AZ,616597,27
2003,Arizona,AZ,195997,21
2004,Arizona,AZ,231478,22
2005,Arizona,AZ,912313,88
2006,Arizona,AZ,187129,48
2007,Arizona,AZ,106648,23
2008,Arizona,AZ,134805,35
2009,Arizona,AZ,252272,48
2010,Arizona,AZ,106901,30
